account_id,date,account_status,overdraft_balance,overdraft_limit,in_financial_difficulties_flag,total_value_transactions_made
697867027668602067,2020-06-30,OPEN,348.35,450,0,380.43
4917829265552608596,2020-06-30,OPEN,34.8,450,0,1.77
2290207095563569859,2020-06-30,OPEN,196.51,450,0,2072.33
3319145684517449578,2020-06-30,OPEN,446.39,450,0,12.49
-3647675509556782957,2020-06-30,OPEN,444.79,450,0,11.71
758923403048683426,2020-06-30,OPEN,436.77,450,0,33.23
-2990476621594053556,2020-06-30,OPEN,449.67,450,0,421.41
-5631759764857600697,2020-06-30,OPEN,73.6,450,0,2506.06
6139644353055738692,2020-06-30,OPEN,425.35,450,0,446.77
420375338796420949,2020-06-30,OPEN,438.8,450,0,11.58
-6386819683283941589,2020-06-30,OPEN,99.92,450,0,304.89
-2088056307802543678,2020-06-30,OPEN,447.02,450,0,228.14
-758196137395846633,2020-06-30,OPEN,274.07,450,0,2835.95
-6394929735956589412,2020-06-30,OPEN,397.76,450,0,485.48
-8870361012370267560,2020-06-30,OPEN,153.05,450,0,6.98
-4781470367020641321,2020-06-30,OPEN,413.7,450,0,18.56
5679564847886099401,2020-06-30,OPEN,336.17,450,0,916.36
7677456795144069709,2020-06-30,OPEN,359.04,450,0,765.5
7420582161439232358,2020-06-30,OPEN,391.72,450,0,13.21
-5024813880365528456,2020-06-30,OPEN,50,450,0,1102.72
-4010618638802400490,2020-06-30,OPEN,425,450,0,405.58
2987726384694997513,2020-06-30,OPEN,433.97,450,0,38.07
6834492502062087673,2020-06-30,OPEN,389.75,450,0,89.99
-3789957100345645810,2020-06-30,OPEN,418.78,450,0,29.3
-841097258604221576,2020-06-30,OPEN,45.36,450,0,706.86
-3333846837471408773,2020-06-30,OPEN,451.96,450,0,92.81
-4366453245166192301,2020-06-30,OPEN,449.71,450,0,13.51
-1223686516714456633,2020-06-30,OPEN,221.64,450,0,1864.68
-1972694712986103728,2020-06-30,OPEN,431.96,450,0,782.14
-6307193550155255025,2020-06-30,OPEN,448.37,450,0,9.78
-7474157116586456283,2020-06-30,OPEN,237.69,450,0,506.25
-8702272406954256329,2020-06-30,OPEN,354.05,450,0,7292.26
6310613037093646480,2020-06-30,OPEN,354.48,450,0,50.54
8431580228674713821,2020-06-30,OPEN,414.88,450,0,342.09
4201760975176850956,2020-06-30,OPEN,415.63,450,0,583.05
2831209627558641737,2020-06-30,OPEN,271.97,450,0,917.77
-8482609565357417374,2020-06-30,OPEN,385.16,450,0,617.02
-5524438842941147253,2020-06-30,OPEN,351.08,450,0,10.13
878975390654052626,2020-06-30,OPEN,424.92,450,0,312.06
8695187175681359248,2020-06-30,OPEN,202.25,450,0,2654.31
1194113970077299984,2020-06-30,OPEN,446.7,450,0,19.06
5107321889071200614,2020-06-30,OPEN,106.01,450,0,2155.4
-3295450347545795805,2020-06-30,OPEN,423.07,450,0,10.74
-6511622853391285245,2020-06-30,OPEN,438.46,450,0,12.09
4063828064104381484,2020-06-30,OPEN,305.78,450,0,1088.97
8326532781813701478,2020-06-30,OPEN,267.05,450,0,1362.21
5457503192293893056,2020-06-30,OPEN,284.59,450,0,1091.18
-3058872256836789614,2020-06-30,OPEN,192.73,450,0,245.91
-2820350955615403431,2020-06-30,OPEN,449.89,450,0,92.69
-571325219198834922,2020-06-30,OPEN,442.77,450,0,12.77
-7085927796518161970,2020-06-30,OPEN,417.91,450,0,46.94
-7714818706890321460,2020-06-30,OPEN,171.82,450,0,430.03
6822684855140151689,2020-06-30,OPEN,338.76,450,0,1298.44
7783210425839455745,2020-06-30,OPEN,68.06,450,0,2107.14
5377597211921884261,2020-06-30,OPEN,425.29,450,0,260.46
5704476424013728055,2020-06-30,OPEN,399.09,450,0,17.34
5613750234973098981,2020-06-30,OPEN,381.4,450,0,49.42
-2752989908458603804,2020-06-30,OPEN,428.53,450,0,20.21
-6543556757155483097,2020-06-30,OPEN,439.96,450,0,449.9
-3528748684949676160,2020-06-30,OPEN,416.78,450,0,221.22
-7464114640164512516,2020-06-30,OPEN,251.42,450,0,2216.9
6073501470072633352,2020-06-30,OPEN,448.92,450,0,643.8
8387549541605935345,2020-06-30,OPEN,426.99,450,0,12.83
-8371808072350428978,2020-06-30,OPEN,371.61,450,0,513.46
302697221185662099,2020-06-30,OPEN,322.21,450,0,946.49
390508152041241662,2020-06-30,OPEN,446.97,450,0,47.61
-617887366121993855,2020-06-30,OPEN,413.67,450,0,1476.23
5364746101356406028,2020-06-30,OPEN,420.22,450,0,83.4
5503777566837305018,2020-06-30,OPEN,437.77,450,0,42.73
-1687443935957109482,2020-06-30,OPEN,199.33,450,0,1999.35
-1230898929249722049,2020-06-30,OPEN,183.33,450,0,214.1
6728313996516692877,2020-06-30,OPEN,447.99,450,0,42.13
-3274519445641440106,2020-06-30,OPEN,73.45,450,0,815.31
-2066060931055761197,2020-06-30,OPEN,55.84,450,0,93.96
-6394968971337970065,2020-06-30,OPEN,48.77,450,0,1798.84
5801118310917769832,2020-06-30,OPEN,436.52,450,0,487.74
-1921597053877421529,2020-06-30,OPEN,193.81,450,0,269.2
2895742943055307437,2020-06-30,OPEN,286.75,450,0,130.89
570145144243416952,2020-06-30,OPEN,38.05,450,0,676.1
-8156124542195460973,2020-06-30,OPEN,323.03,362.62,0,9.98
7475965740948914358,2020-06-30,OPEN,188.66,345.44,0,34.79
8548962750813514832,2020-06-30,OPEN,262.15,486.64,0,3215.66
-3432450136070534644,2020-06-30,OPEN,399.22,484.82,0,76.3
6474840932629514935,2020-06-30,OPEN,48.61,49.62,0,10.28
-1563596066388638863,2020-06-30,OPEN,484.29,518.84,0,350.36
8214678429393044295,2020-06-30,OPEN,170.68,170.68,0,36.66
-2485356521806943614,2020-06-30,OPEN,422.88,477.88,0,8.47
-6356401085527836826,2020-06-30,OPEN,468.75,494.72,0,14.03
4216428046220450702,2020-06-30,OPEN,91.72,91.72,0,1.94
-5218412802387383716,2020-06-30,OPEN,49.75,438.06,0,2393.11
7714451306843338186,2020-06-30,OPEN,480.08,499.5,0,1055.98
5327641582773105749,2020-06-30,OPEN,358.79,359.44,0,5.41
2273865993051459298,2020-06-30,OPEN,48.83,57.36,0,1.35
-6994448036863640380,2020-06-30,OPEN,70.1,367.86,0,70.1
-9040568743513563991,2020-06-30,OPEN,457.9,463.32,0,13.6
-1459215543527287338,2020-06-30,OPEN,396.76,396.76,0,8.48
-6122179305445571601,2020-06-30,OPEN,481.93,514.52,0,13.29
5306446375780205302,2020-06-30,OPEN,299.88,314.5,0,11.04
-6334745414376976594,2020-06-30,OPEN,444.21,462.98,0,13.63
4051026615158419836,2020-06-30,OPEN,379.29,497,0,10.6
-3118195256699894846,2020-06-30,OPEN,240.49,350,0,9.49
-2614501388103915379,2020-06-30,OPEN,340.89,350,0,121.24
3500571345793728267,2020-06-30,OPEN,99.87,350,0,901.46
-9099013725634518684,2020-06-30,OPEN,339.74,350,0,691.44
1142138332288153833,2020-06-30,OPEN,344,350,0,6
3104879716859429487,2020-06-30,OPEN,129.55,350,0,961.84
-1576043472033709702,2020-06-30,OPEN,302.58,350,0,734.46
-1888086925646122327,2020-06-30,OPEN,51.07,350,0,5.14
6086839503764902715,2020-06-30,OPEN,147.64,350,0,11.06
-574038450117687457,2020-06-30,OPEN,43.87,350,0,901.72
4139978922606629785,2020-06-30,OPEN,305.86,350,0,10.59
6990630296022096884,2020-06-30,OPEN,349.48,350,0,50.09
-8025173638624740511,2020-06-30,OPEN,334.97,350,0,18.19
2671334543854298399,2020-06-30,OPEN,235,350,0,268.6
5275979453326764334,2020-06-30,OPEN,348.86,350,0,9.92
-4967953228845450651,2020-06-30,OPEN,328.51,350,0,54.55
-8055354205710354497,2020-06-30,OPEN,338.29,350,0,1077.83
2035683719786140566,2020-06-30,OPEN,181.05,350,0,143.66
5071045778618336154,2020-06-30,OPEN,115.55,350,0,1426.39
334307583690203789,2020-06-30,OPEN,61.64,350,0,1109.99
-5872625049717159934,2020-06-30,OPEN,290.5,350,0,2806.04
4760036102078233740,2020-06-30,OPEN,340.56,350,0,473.6
-508070537786823014,2020-06-30,OPEN,267.61,350,0,2627.54
3918039380095856692,2020-06-30,OPEN,343.72,350,0,264.93
-8761804011326197242,2020-06-30,OPEN,343.23,350,0,9.93
-5727814024641056018,2020-06-30,OPEN,332.89,350,0,786.64
3633836784560904560,2020-06-30,OPEN,341.46,350,0,93.42
5081201803451296045,2020-06-30,OPEN,350,350,0,514.64
5064139623772888732,2020-06-30,OPEN,298.53,350,0,11.13
8916837653752179601,2020-06-30,OPEN,95.92,350,0,626.88
-7308207387699710998,2020-06-30,OPEN,325.29,350,0,28.91
-4590514424340328900,2020-06-30,OPEN,168.91,350,0,196.93
4832978284953821424,2020-06-30,OPEN,134.8,350,0,50.5
5826317713373449178,2020-06-30,OPEN,141.87,350,0,309.88
-7275027579138938014,2020-06-30,OPEN,187.97,350,0,597.55
-8933088383483633023,2020-06-30,OPEN,66.37,350,0,1279.37
-8359102040727413508,2020-06-30,OPEN,335.13,350,0,895.74
-1373720773935660636,2020-06-30,OPEN,349.99,350,0,36.07
7458287310102302027,2020-06-30,OPEN,269.09,350,0,16.12
5894161195953788600,2020-06-30,OPEN,96.58,350,0,692.2
2575858698059464580,2020-06-30,OPEN,209.63,350,0,36.58
8914948322526997116,2020-06-30,OPEN,315.98,350,0,8.85
-3192158052134111015,2020-06-30,OPEN,327.72,350,0,890.48
2805335201688948847,2020-06-30,OPEN,319.58,350,0,792.05
5255671211378426310,2020-06-30,OPEN,224.43,350,0,174.95
4138595611393351450,2020-06-30,OPEN,124.39,350,0,981.08
-6979275561442974164,2020-06-30,OPEN,340.88,350,0,188.38
-4791773026897066056,2020-06-30,OPEN,285.59,350,0,15.9
4567149049566347791,2020-06-30,OPEN,323.25,350,0,146.99
3431128823625631365,2020-06-30,OPEN,310.44,350,0,11.27
4537334837055209968,2020-06-30,OPEN,344.84,350,0,52.74
-8986741802740769338,2020-06-30,OPEN,90.78,350,0,971.73
3896545729888320168,2020-06-30,OPEN,136.07,350,0,1190.65
-6860717686678184658,2020-06-30,OPEN,341.27,350,0,1536.07
1113830417422328680,2020-06-30,OPEN,33.1,350,0,3311.78
980834091820408864,2020-06-30,OPEN,345.62,350,0,1331.26
-5621559775492108291,2020-06-30,OPEN,343.96,350,0,1738.22
4326091791149199271,2020-06-30,OPEN,343.14,350,0,451.37
-634226501883817712,2020-06-30,OPEN,222.38,350,0,800.62
2171524479300041953,2020-06-30,OPEN,287.07,350,0,320.75
2825711555373088732,2020-06-30,OPEN,150.07,350,0,835.64
6512296244890064309,2020-06-30,OPEN,317.92,350,0,8.77
-7625953086660226126,2020-06-30,OPEN,91.38,350,0,661.21
840302445717888136,2020-06-30,OPEN,342.45,350,0,56.14
9018259080273692672,2020-06-30,OPEN,274.5,350,0,66.11
7875795895053042197,2020-06-30,OPEN,293.15,350,0,391.99
-6217375142807337782,2020-06-30,OPEN,124.31,350,0,467.62
-8035776881864718732,2020-06-30,OPEN,149.97,350,0,1076.43
-8887894369041281459,2020-06-30,OPEN,321.01,350,0,293.47
5235261066081681237,2020-06-30,OPEN,339.53,350,0,187.59
6610170512929655491,2020-06-30,OPEN,91.95,350,0,435.24
6388602229939404569,2020-06-30,OPEN,346.89,350,0,19.72
285189130784799514,2020-06-30,OPEN,87.96,350,0,1147.02
-7241479514651579809,2020-06-30,OPEN,340.69,350,0,9.66
-3436167134554189200,2020-06-30,OPEN,348.37,350,0,109.89
-6450801207069795045,2020-06-30,OPEN,358.67,350,0,734.92
3635483158236618078,2020-06-30,OPEN,348.5,350,0,33.92
-3209413134575533813,2020-06-30,OPEN,349.37,350,0,7.6
1800435139845206827,2020-06-30,OPEN,315,350,0,1382.77
532855899056495431,2020-06-30,OPEN,189.64,350,0,612.71
8095494601400103004,2020-06-30,OPEN,271.46,350,0,27.83
6985414278226044169,2020-06-30,OPEN,334,350,0,892.68
-7761897266992287820,2020-06-30,OPEN,321.59,350,0,702.91
1108416976278631092,2020-06-30,OPEN,167.48,350,0,991.72
-6744971110238578102,2020-06-30,OPEN,344.87,350,0,73.01
-933187337299705132,2020-06-30,OPEN,342.17,350,0,32.5
2564320522136655024,2020-06-30,OPEN,121.67,350,0,2189.28
7288732538880966019,2020-06-30,OPEN,74.93,350,0,575.66
-1441059926424639212,2020-06-30,OPEN,340.97,350,0,10
-8272509088904371974,2020-06-30,OPEN,349.41,350,0,10.02
-8614690063048550362,2020-06-30,OPEN,348.71,350,0,2447.18
8953890845236238632,2020-06-30,OPEN,305.29,350,0,24.58
-2252084815107757094,2020-06-30,OPEN,336.76,350,0,9.2
529435757432400937,2020-06-30,OPEN,338.5,350,0,27.88
3782006813097173428,2020-06-30,OPEN,313.2,350,0,19.13
7710910672476184034,2020-06-30,OPEN,325.73,350,0,14.36
-2628935833980857033,2020-06-30,OPEN,209.2,350,0,657.89
-7773717116279743248,2020-06-30,OPEN,314.09,350,0,492.75
9188701482434639512,2020-06-30,OPEN,106.13,350,0,549.18
-5739056223065338550,2020-06-30,OPEN,349.22,350,0,9.63
33128701782971663,2020-06-30,OPEN,85.8,350,0,5.12
-1203669754557979081,2020-06-30,OPEN,335.94,350,0,361.24
-6883706986004056061,2020-06-30,OPEN,158.04,350,0,388.69
4747934887826690487,2020-06-30,OPEN,34.59,350,0,1680.42
-4772256794618916125,2020-06-30,OPEN,346.99,350,0,4004.28
-2122161457601472541,2020-06-30,OPEN,304.26,350,0,1974.31
-3955416566043516040,2020-06-30,OPEN,290.85,350,0,350.86
-4106334509002072827,2020-06-30,OPEN,165.21,350,0,28.74
2148602760094590019,2020-06-30,OPEN,44.49,350,0,413.54
-2137907290308367943,2020-06-30,OPEN,343.42,350,0,14.19
1401042634570616841,2020-06-30,OPEN,132.23,350,0,970.18
-7356411441011762517,2020-06-30,OPEN,348.68,350,0,962.33
-120044281584843658,2020-06-30,OPEN,341.33,350,0,3583.24
-4859884641245880894,2020-06-30,OPEN,159.98,350,0,170.04
4240332962302542231,2020-06-30,OPEN,338.33,350,0,159.83
561332043334158696,2020-06-30,OPEN,308.07,350,0,1340.02
5426779694576454849,2020-06-30,OPEN,330.98,350,0,530.06
6445682945825046416,2020-06-30,OPEN,334.45,350,0,229.71
-6278025821779896548,2020-06-30,OPEN,322.44,350,0,994.11
-7545295127206426057,2020-06-30,OPEN,216.41,350,0,124.23
-8821437842314420296,2020-06-30,OPEN,255.21,350,0,878.35
-5753365898440243210,2020-06-30,OPEN,226.42,350,0,855.68
-2073559854538719279,2020-06-30,OPEN,151.76,350,0,132.26
-5210781538467243911,2020-06-30,OPEN,147.3,350,0,814.57
7182409554020521411,2020-06-30,OPEN,245.07,350,0,342.19
-3495030490191169353,2020-06-30,OPEN,337.45,350,0,499.75
-3734774758995169976,2020-06-30,OPEN,214.18,350,0,561.09
-7458440917756541256,2020-06-30,OPEN,306.88,350,0,183.79
941348024765971356,2020-06-30,OPEN,320.45,350,0,1954.05
6151011107970094186,2020-06-30,OPEN,171.85,350,0,504.97
-342740037643459107,2020-06-30,OPEN,349.13,350,0,9.72
-386861281197637538,2020-06-30,OPEN,337.79,350,0,81.45
-5763604859347079243,2020-06-30,OPEN,44.28,44.28,0,11.01
-5972483891344836805,2020-06-30,OPEN,50.12,80.12,0,25.51
3328235101554482643,2020-06-30,OPEN,227.35,382.2,0,8.88
4317022501471780921,2020-06-30,OPEN,533.98,533.98,0,14.73
-2897493160671729950,2020-06-30,OPEN,344.67,352.96,0,7.71
-943482144271704140,2020-06-30,OPEN,253.65,255.34,0,7
4230123590300747887,2020-06-30,OPEN,68.36,69.2,0,1.88
-4680255268205772983,2020-06-30,OPEN,131.68,241.46,0,9.27
3765766932154421287,2020-06-30,OPEN,114.21,185.14,0,3.15
5645809497444306667,2020-06-30,OPEN,466.5,480.28,0,21
-5145505393984689081,2020-06-30,OPEN,451.87,493.82,0,71.67
-83604336533484519,2020-06-30,OPEN,196.87,220.64,0,6.23
4795475981893094515,2020-06-30,OPEN,238.77,251.36,0,22.08
-4893526495859196386,2020-06-30,OPEN,471.52,471.52,0,13
4152011726506372965,2020-06-30,OPEN,449.82,474.82,0,13.1
-2367700778998041839,2020-06-30,OPEN,57.25,68.52,0,23.99
-3912132190088244289,2020-06-30,OPEN,339.54,339.54,0,9.37
-45970575604331127,2020-06-30,OPEN,56.12,56.12,0,1.2
-8222311532560413734,2020-06-30,OPEN,235.5,532.28,0,11.01
-1605252407116316331,2020-06-30,OPEN,190.08,233.5,0,6.58
-5476662282943941702,2020-06-30,OPEN,471.64,474.14,0,149.92
1012541718927706949,2020-06-30,OPEN,191.92,241.92,0,6.67
6551335175817926814,2020-06-30,OPEN,395.52,395.52,0,12.53
1807373597538334280,2020-06-30,OPEN,200.37,204.26,0,5.53
-8443436190908059058,2020-06-30,OPEN,38.6,38.6,0,0.82
6768862026181471458,2020-06-30,OPEN,188.62,250,0,1289.77
7564959345540376093,2020-06-30,OPEN,206.02,250,0,314.91
8305436680995505295,2020-06-30,OPEN,183.2,250,0,48.66
-7588086019938374032,2020-06-30,OPEN,104.76,250,0,1.91
-1696978076640585995,2020-06-30,OPEN,56.92,250,0,4470.3
5493587110249919286,2020-06-30,OPEN,250,250,0,530.53
-6348644384658232593,2020-06-30,OPEN,245.61,250,0,210
-6862592230009383030,2020-06-30,OPEN,243.76,250,0,60.37
-3661270344147884900,2020-06-30,OPEN,181.85,250,0,7.32
3446105263134478327,2020-06-30,OPEN,209.85,250,0,24.3
7176836878270608503,2020-06-30,OPEN,241.68,250,0,6.65
2817060050491084641,2020-06-30,OPEN,247.68,250,0,229.64
526173851140323296,2020-06-30,OPEN,243.38,250,0,7.18
-8544646515853112669,2020-06-30,OPEN,59.69,250,0,119.57
6726909932275061092,2020-06-30,OPEN,249.48,250,0,27.02
-1301229039702234771,2020-06-30,OPEN,200.26,250,0,364.49
-7679608823348000091,2020-06-30,OPEN,204.9,250,0,125.92
-6415696895992364778,2020-06-30,OPEN,92.34,250,0,957.77
-8773245713166239560,2020-06-30,OPEN,140.44,250,0,1507.22
3753241389630438975,2020-06-30,OPEN,124.89,250,0,3859.34
6795435725452758792,2020-06-30,OPEN,211.09,250,0,3933.14
-7507458455525013276,2020-06-30,OPEN,224.04,250,0,1921.13
7802671678476804309,2020-06-30,OPEN,187.13,250,0,191.13
465924259149539943,2020-06-30,OPEN,145.82,250,0,734.46
2224077726577443858,2020-06-30,OPEN,80.07,250,0,1986.47
-7239728512372698725,2020-06-30,OPEN,237.14,250,0,641.23
-6123211961671669291,2020-06-30,OPEN,48.78,250,0,2466.31
218134337594445889,2020-06-30,OPEN,42.36,250,0,909.45
8536078285227586604,2020-06-30,OPEN,165.3,250,0,963.66
-7007574684382333350,2020-06-30,OPEN,91.38,250,0,1421.64
-4531151181781691780,2020-06-30,OPEN,248.88,250,0,127.82
-1391786402683731474,2020-06-30,OPEN,80.17,250,0,960.79
4274762144966502244,2020-06-30,OPEN,67.27,250,0,59.62
4172481867006781888,2020-06-30,OPEN,248.32,250,0,2044.5
281445699530518093,2020-06-30,OPEN,48.43,250,0,3777.34
5418246481148371772,2020-06-30,OPEN,239.8,250,0,128.78
5405729345812215139,2020-06-30,OPEN,193.03,250,0,551.63
-7869891591467643614,2020-06-30,OPEN,249.84,250,0,17.16
4987602064116032538,2020-06-30,OPEN,83.05,250,0,1252.35
-6939234096723882075,2020-06-30,OPEN,248.19,250,0,37.71
-1435671955514024397,2020-06-30,OPEN,141.12,250,0,136.99
1835492679290806364,2020-06-30,OPEN,249.21,250,0,2612.87
-8839951114680866887,2020-06-30,OPEN,105.92,250,0,1873.16
-5427957261052701151,2020-06-30,OPEN,205.77,250,0,22.8
6880589528733652573,2020-06-30,OPEN,91.16,250,0,636.95
-4584803128316081846,2020-06-30,OPEN,60.53,250,0,384.69
6838869044075660318,2020-06-30,OPEN,123.37,250,0,135.46
736699030421655291,2020-06-30,OPEN,249.69,250,0,43.78
1027415570387281602,2020-06-30,OPEN,38.19,250,0,43.99
1310905076607385742,2020-06-30,OPEN,81.37,250,0,2260.16
5324914091443639934,2020-06-30,OPEN,139.35,250,0,705.21
7886760035797958659,2020-06-30,OPEN,247.28,250,0,7.04
-6826059055133259816,2020-06-30,OPEN,249.34,250,0,26.13
-2122586295586923889,2020-06-30,OPEN,184.63,250,0,24.47
6639360242846028743,2020-06-30,OPEN,248.85,250,0,612.51
4523468555149161902,2020-06-30,OPEN,241.1,250,0,7.96
1413087464980147196,2020-06-30,OPEN,176.59,250,0,161.22
-8803586449227681599,2020-06-30,OPEN,48.39,250,0,327.43
3739797507941678503,2020-06-30,OPEN,238.79,250,0,482.17
3113431369999457536,2020-06-30,OPEN,236.86,250,0,144.51
-1586148492671016981,2020-06-30,OPEN,46,250,0,1519.14
6140895733022446025,2020-06-30,OPEN,68.95,250,0,1.65
4970735309188861944,2020-06-30,OPEN,199.47,250,0,1385.69
384765619682566188,2020-06-30,OPEN,161.61,250,0,12.94
-2590597757897661602,2020-06-30,OPEN,225.93,250,0,883.87
-4165668160104924134,2020-06-30,OPEN,167.09,250,0,90.73
-9175690703004519886,2020-06-30,OPEN,238.23,250,0,186.44
5813020661195815833,2020-06-30,OPEN,220.92,250,0,130.01
388137964473671676,2020-06-30,OPEN,140.09,250,0,2865.51
3815318069844366115,2020-06-30,OPEN,228.88,250,0,4010.99
6586971930703661854,2020-06-30,OPEN,243.76,250,0,32.84
-4773505048925188092,2020-06-30,OPEN,234.38,250,0,781.55
-8923161937495765830,2020-06-30,OPEN,133.51,250,0,2049.24
-5076056637892059505,2020-06-30,OPEN,217.77,250,0,315.08
-175474537035579250,2020-06-30,OPEN,237.85,250,0,8.92
-1504781514792943751,2020-06-30,OPEN,184.25,250,0,5.08
-3895875203751286374,2020-06-30,OPEN,203.53,250,0,328.77
-2736263824946027271,2020-06-30,OPEN,118.38,250,0,865.27
-1822048924278703663,2020-06-30,OPEN,184.22,250,0,3.31
6024690368932828228,2020-06-30,OPEN,247.9,250,0,95.88
9197091875726599848,2020-06-30,OPEN,241,250,0,242.3
-9206690416393887821,2020-06-30,OPEN,235.19,250,0,476.25
6956218445089024337,2020-06-30,OPEN,224.3,250,0,885.2
3710704782721529331,2020-06-30,OPEN,99.6,250,0,3073.27
-6538694389808311662,2020-06-30,OPEN,156.52,250,0,174.89
-4072484770723390327,2020-06-30,OPEN,122.5,250,0,201.29
-1365199669365900259,2020-06-30,OPEN,198.72,250,0,11.05
2742403544358757783,2020-06-30,OPEN,231.62,250,0,311.04
3402561238868213280,2020-06-30,OPEN,165.19,250,0,95.03
6625258613327963796,2020-06-30,OPEN,242.89,250,0,4079.06
5131278905120539783,2020-06-30,OPEN,246.24,250,0,7.24
-7241751209964204761,2020-06-30,OPEN,185.49,250,0,2121.95
2814272117504319955,2020-06-30,OPEN,48.43,250,0,337
-972026095297374478,2020-06-30,OPEN,65.84,250,0,241.61
7350646963952372875,2020-06-30,OPEN,101.07,250,0,653.2
4015940454885443009,2020-06-30,OPEN,247.88,250,0,1128
-4059638975518077151,2020-06-30,OPEN,233.74,250,0,6.93
8156823612954935500,2020-06-30,OPEN,52.59,250,0,2446.5
-3560069368443176130,2020-06-30,OPEN,230.04,250,0,6.9
8039838335095930470,2020-06-30,OPEN,231.34,250,0,7.05
